Label,Title,Artist,Album,Genre,Year,Format,Notes
Longines Symphonette Society (SYS 5074 to 5079),Cheek to Cheek,"Bing Crosby, The Longines Symphonette",Bing Crosby's Treasury - The Songs I Love,"Jazz, Pop, Stage & Screen",1968,"Vinyl (LP, Album)",
Longines Symphonette Society (SYS 5074 to 5079),One for My Baby,"Bing Crosby, The Longines Symphonette",Bing Crosby's Treasury - The Songs I Love,"Jazz, Pop, Stage & Screen",1968,"Vinyl (LP, Album)",
Longines Symphonette Society (SYS 5074 to 5079),River Stay Away From My Door,"Bing Crosby, The Longines Symphonette",Bing Crosby's Treasury - The Songs I Love,"Jazz, Pop, Stage & Screen",1968,"Vinyl (LP, Album)",
Longines Symphonette Society (SYS 5074 to 5079),Joobalai,"Bing Crosby, The Longines Symphonette",Bing Crosby's Treasury - The Songs I Love,"Jazz, Pop, Stage & Screen",1968,"Vinyl (LP, Album)",
Longines Symphonette Society (SYS 5074 to 5079),What'll I Do,"Bing Crosby, The Longines Symphonette",Bing Crosby's Treasury - The Songs I Love,"Jazz, Pop, Stage & Screen",1968,"Vinyl (LP, Album)",
Longines Symphonette Society (SYS 5074 to 5079),After You've Gone / San Fernando Valley,"Bing Crosby, The Longines Symphonette",Bing Crosby's Treasury - The Songs I Love,"Jazz, Pop, Stage & Screen",1968,"Vinyl (LP, Album)",
Longines Symphonette Society (SYS 5074 to 5079),When My Sugar Walks Down the Street,"Bing Crosby, The Longines Symphonette",Bing Crosby's Treasury - The Songs I Love,"Jazz, Pop, Stage & Screen",1968,"Vinyl (LP, Album)",
Longines Symphonette Society (SYS 5074 to 5079),Ballin' the Jack,"Bing Crosby, The Longines Symphonette",Bing Crosby's Treasury - The Songs I Love,"Jazz, Pop, Stage & Screen",1968,"Vinyl (LP, Album)",
Longines Symphonette Society (SYS 5074 to 5079),Blue Skies  / Red Sails in the Sunset,"Bing Crosby, The Longines Symphonette",Bing Crosby's Treasury - The Songs I Love,"Jazz, Pop, Stage & Screen",1968,"Vinyl (LP, Album)",
Longines Symphonette Society (SYS 5074 to 5079),Ole Buttermilk Sky,"Bing Crosby, The Longines Symphonette",Bing Crosby's Treasury - The Songs I Love,"Jazz, Pop, Stage & Screen",1968,"Vinyl (LP, Album)",
Longines Symphonette Society (SYS 5074 to 5079),Riders in the Sky,"Bing Crosby, The Longines Symphonette",Bing Crosby's Treasury - The Songs I Love,"Jazz, Pop, Stage & Screen",1968,"Vinyl (LP, Album)",
Longines Symphonette Society (SYS 5074 to 5079),The Song Is Ended,"Bing Crosby, The Longines Symphonette",Bing Crosby's Treasury - The Songs I Love,"Jazz, Pop, Stage & Screen",1968,"Vinyl (LP, Album)",
Longines Symphonette Society (SYS 5074 to 5079),I've Heard That Song Before,"Bing Crosby, The Longines Symphonette",Bing Crosby's Treasury - The Songs I Love,"Jazz, Pop, Stage & Screen",1968,"Vinyl (LP, Album)",
Longines Symphonette Society (SYS 5074 to 5079),Mr. Meadowlark,"Bing Crosby, The Longines Symphonette",Bing Crosby's Treasury - The Songs I Love,"Jazz, Pop, Stage & Screen",1968,"Vinyl (LP, Album)",
Longines Symphonette Society (SYS 5074 to 5079),Remember,"Bing Crosby, The Longines Symphonette",Bing Crosby's Treasury - The Songs I Love,"Jazz, Pop, Stage & Screen",1968,"Vinyl (LP, Album)",
Longines Symphonette Society (SYS 5074 to 5079),I Love My Baby / Mr. Sandman,"Bing Crosby, The Longines Symphonette",Bing Crosby's Treasury - The Songs I Love,"Jazz, Pop, Stage & Screen",1968,"Vinyl (LP, Album)",
Longines Symphonette Society (SYS 5074 to 5079),I'll Take Romance,"Bing Crosby, The Longines Symphonette",Bing Crosby's Treasury - The Songs I Love,"Jazz, Pop, Stage & Screen",1968,"Vinyl (LP, Album)",
Longines Symphonette Society (SYS 5074 to 5079),Puttin' on the Ritz,"Bing Crosby, The Longines Symphonette",Bing Crosby's Treasury - The Songs I Love,"Jazz, Pop, Stage & Screen",1968,"Vinyl (LP, Album)",
Longines Symphonette Society (SYS 5074 to 5079),Sophisticated Lady,"Bing Crosby, The Longines Symphonette",Bing Crosby's Treasury - The Songs I Love,"Jazz, Pop, Stage & Screen",1968,"Vinyl (LP, Album)",
Longines Symphonette Society (SYS 5074 to 5079),Always,"Bing Crosby, The Longines Symphonette",Bing Crosby's Treasury - The Songs I Love,"Jazz, Pop, Stage & Screen",1968,"Vinyl (LP, Album)",
Longines Symphonette Society (SYS 5074 to 5079),You're Mine You / Gimme a Little Kiss,"Bing Crosby, The Longines Symphonette",Bing Crosby's Treasury - The Songs I Love,"Jazz, Pop, Stage & Screen",1968,"Vinyl (LP, Album)",
Longines Symphonette Society (SYS 5074 to 5079),Thank You for a Lovely Evening,"Bing Crosby, The Longines Symphonette",Bing Crosby's Treasury - The Songs I Love,"Jazz, Pop, Stage & Screen",1968,"Vinyl (LP, Album)",
Longines Symphonette Society (SYS 5074 to 5079),Love Makes the World Go Round,"Bing Crosby, The Longines Symphonette",Bing Crosby's Treasury - The Songs I Love,"Jazz, Pop, Stage & Screen",1968,"Vinyl (LP, Album)",
Longines Symphonette Society (SYS 5074 to 5079),These Foolish Things,"Bing Crosby, The Longines Symphonette",Bing Crosby's Treasury - The Songs I Love,"Jazz, Pop, Stage & Screen",1968,"Vinyl (LP, Album)",
Longines Symphonette Society (SYS 5074 to 5079),All Alone,"Bing Crosby, The Longines Symphonette",Bing Crosby's Treasury - The Songs I Love,"Jazz, Pop, Stage & Screen",1968,"Vinyl (LP, Album)",
Longines Symphonette Society (SYS 5074 to 5079),Ain't Misbehavin' / Nobody's Sweetheart,"Bing Crosby, The Longines Symphonette",Bing Crosby's Treasury - The Songs I Love,"Jazz, Pop, Stage & Screen",1968,"Vinyl (LP, Album)",
Longines Symphonette Society (SYS 5074 to 5079),Coquette,"Bing Crosby, The Longines Symphonette",Bing Crosby's Treasury - The Songs I Love,"Jazz, Pop, Stage & Screen",1968,"Vinyl (LP, Album)",
Longines Symphonette Society (SYS 5074 to 5079),Sentimental Gentleman From Georgia,"Bing Crosby, The Longines Symphonette",Bing Crosby's Treasury - The Songs I Love,"Jazz, Pop, Stage & Screen",1968,"Vinyl (LP, Album)",
Longines Symphonette Society (SYS 5074 to 5079),Dear Hearts and Gentle People,"Bing Crosby, The Longines Symphonette",Bing Crosby's Treasury - The Songs I Love,"Jazz, Pop, Stage & Screen",1968,"Vinyl (LP, Album)",
Longines Symphonette Society (SYS 5074 to 5079),Lonesome and Sorry,"Bing Crosby, The Longines Symphonette",Bing Crosby's Treasury - The Songs I Love,"Jazz, Pop, Stage & Screen",1968,"Vinyl (LP, Album)",
Longines Symphonette Society (SYS 5074 to 5079),Maybe / So Rare,"Bing Crosby, The Longines Symphonette",Bing Crosby's Treasury - The Songs I Love,"Jazz, Pop, Stage & Screen",1968,"Vinyl (LP, Album)",
Longines Symphonette Society (SYS 5074 to 5079),"There's Danger in Your Eyes, Cherie","Bing Crosby, The Longines Symphonette",Bing Crosby's Treasury - The Songs I Love,"Jazz, Pop, Stage & Screen",1968,"Vinyl (LP, Album)",
Longines Symphonette Society (SYS 5074 to 5079),Say It Isn't So,"Bing Crosby, The Longines Symphonette",Bing Crosby's Treasury - The Songs I Love,"Jazz, Pop, Stage & Screen",1968,"Vinyl (LP, Album)",
Longines Symphonette Society (SYS 5074 to 5079),The White Cliffs of Dover / Drifting and Dreaming,"Bing Crosby, The Longines Symphonette",Bing Crosby's Treasury - The Songs I Love,"Jazz, Pop, Stage & Screen",1968,"Vinyl (LP, Album)",
Longines Symphonette Society (SYS 5074 to 5079),Tenderly,"Bing Crosby, The Longines Symphonette",Bing Crosby's Treasury - The Songs I Love,"Jazz, Pop, Stage & Screen",1968,"Vinyl (LP, Album)",
Longines Symphonette Society (SYS 5074 to 5079),The Peanut Vendor,"Bing Crosby, The Longines Symphonette",Bing Crosby's Treasury - The Songs I Love,"Jazz, Pop, Stage & Screen",1968,"Vinyl (LP, Album)",
Longines Symphonette Society (SYS 5074 to 5079),South of the Border,"Bing Crosby, The Longines Symphonette",Bing Crosby's Treasury - The Songs I Love,"Jazz, Pop, Stage & Screen",1968,"Vinyl (LP, Album)",
Longines Symphonette Society (SYS 5074 to 5079),Say Si Si,"Bing Crosby, The Longines Symphonette",Bing Crosby's Treasury - The Songs I Love,"Jazz, Pop, Stage & Screen",1968,"Vinyl (LP, Album)",
Longines Symphonette Society (SYS 5074 to 5079),Honeymoon / Anniversary Waltz,"Bing Crosby, The Longines Symphonette",Bing Crosby's Treasury - The Songs I Love,"Jazz, Pop, Stage & Screen",1968,"Vinyl (LP, Album)",
Longines Symphonette Society (SYS 5074 to 5079),Friendly Persuasion,"Bing Crosby, The Longines Symphonette",Bing Crosby's Treasury - The Songs I Love,"Jazz, Pop, Stage & Screen",1968,"Vinyl (LP, Album)",
Longines Symphonette Society (SYS 5074 to 5079),Imagination,"Bing Crosby, The Longines Symphonette",Bing Crosby's Treasury - The Songs I Love,"Jazz, Pop, Stage & Screen",1968,"Vinyl (LP, Album)",
Longines Symphonette Society (SYS 5074 to 5079),Amapola,"Bing Crosby, The Longines Symphonette",Bing Crosby's Treasury - The Songs I Love,"Jazz, Pop, Stage & Screen",1968,"Vinyl (LP, Album)",
Longines Symphonette Society (SYS 5074 to 5079),I Hear Music,"Bing Crosby, The Longines Symphonette",Bing Crosby's Treasury - The Songs I Love,"Jazz, Pop, Stage & Screen",1968,"Vinyl (LP, Album)",
Longines Symphonette Society (SYS 5074 to 5079),Just an Echo in the Valley / Cecilia,"Bing Crosby, The Longines Symphonette",Bing Crosby's Treasury - The Songs I Love,"Jazz, Pop, Stage & Screen",1968,"Vinyl (LP, Album)",
Longines Symphonette Society (SYS 5074 to 5079),In the Chapel in the Moonlight,"Bing Crosby, The Longines Symphonette",Bing Crosby's Treasury - The Songs I Love,"Jazz, Pop, Stage & Screen",1968,"Vinyl (LP, Album)",
Longines Symphonette Society (SYS 5074 to 5079),A Nightingale Sang in Berkeley Square,"Bing Crosby, The Longines Symphonette",Bing Crosby's Treasury - The Songs I Love,"Jazz, Pop, Stage & Screen",1968,"Vinyl (LP, Album)",
Longines Symphonette Society (SYS 5074 to 5079),Stormy Weather,"Bing Crosby, The Longines Symphonette",Bing Crosby's Treasury - The Songs I Love,"Jazz, Pop, Stage & Screen",1968,"Vinyl (LP, Album)",
Longines Symphonette Society (SYS 5074 to 5079),How Come You Do Me Like You Do,"Bing Crosby, The Longines Symphonette",Bing Crosby's Treasury - The Songs I Love,"Jazz, Pop, Stage & Screen",1968,"Vinyl (LP, Album)",
Longines Symphonette Society (SYS 5074 to 5079),I'm Confessin' / If I Had You,"Bing Crosby, The Longines Symphonette",Bing Crosby's Treasury - The Songs I Love,"Jazz, Pop, Stage & Screen",1968,"Vinyl (LP, Album)",
Longines Symphonette Society (SYS 5074 to 5079),My Prayer,"Bing Crosby, The Longines Symphonette",Bing Crosby's Treasury - The Songs I Love,"Jazz, Pop, Stage & Screen",1968,"Vinyl (LP, Album)",
Longines Symphonette Society (SYS 5074 to 5079),Yours,"Bing Crosby, The Longines Symphonette",Bing Crosby's Treasury - The Songs I Love,"Jazz, Pop, Stage & Screen",1968,"Vinyl (LP, Album)",
Longines Symphonette Society (SYS 5074 to 5079),Rock a Bye Baby with a Dixie Melody,"Bing Crosby, The Longines Symphonette",Bing Crosby's Treasury - The Songs I Love,"Jazz, Pop, Stage & Screen",1968,"Vinyl (LP, Album)",
Longines Symphonette Society (SYS 5074 to 5079),Dance with a Dolly,"Bing Crosby, The Longines Symphonette",Bing Crosby's Treasury - The Songs I Love,"Jazz, Pop, Stage & Screen",1968,"Vinyl (LP, Album)",
Longines Symphonette Society (SYS 5074 to 5079),Russian Lullaby / One Morning in May,"Bing Crosby, The Longines Symphonette",Bing Crosby's Treasury - The Songs I Love,"Jazz, Pop, Stage & Screen",1968,"Vinyl (LP, Album)",
Longines Symphonette Society (SYS 5074 to 5079),Isn't This a Lovely Day to Be Caught in the Rain,"Bing Crosby, The Longines Symphonette",Bing Crosby's Treasury - The Songs I Love,"Jazz, Pop, Stage & Screen",1968,"Vinyl (LP, Album)",
Longines Symphonette Society (SYS 5074 to 5079),Steppin' Out with My Baby,"Bing Crosby, The Longines Symphonette",Bing Crosby's Treasury - The Songs I Love,"Jazz, Pop, Stage & Screen",1968,"Vinyl (LP, Album)",
Longines Symphonette Society (SYS 5074 to 5079),The Breeze and I,"Bing Crosby, The Longines Symphonette",Bing Crosby's Treasury - The Songs I Love,"Jazz, Pop, Stage & Screen",1968,"Vinyl (LP, Album)",
MCA Records (COPS-62395),Muddy Water,Bing Crosby,Bing - A Musical Autobiography,Pop,0,"Vinyl (LP, Album)",
MCA Records (COPS-62395),Mississippi Mud,Bing Crosby,Bing - A Musical Autobiography,Pop,0,"Vinyl (LP, Album)",
MCA Records (COPS-62395),My Kinda Love,Bing Crosby,Bing - A Musical Autobiography,Pop,0,"Vinyl (LP, Album)",
MCA Records (COPS-62395),I Surrender Dear,Bing Crosby,Bing - A Musical Autobiography,Pop,0,"Vinyl (LP, Album)",
MCA Records (COPS-62395),It Must Be True,Bing Crosby,Bing - A Musical Autobiography,Pop,0,"Vinyl (LP, Album)",
MCA Records (COPS-62395),Wrap Your Troubles In Dreams,Bing Crosby,Bing - A Musical Autobiography,Pop,0,"Vinyl (LP, Album)",
MCA Records (COPS-62395),Out Of Nowhere,Bing Crosby,Bing - A Musical Autobiography,Pop,0,"Vinyl (LP, Album)",
MCA Records (COPS-62395),Just One More Chance,Bing Crosby,Bing - A Musical Autobiography,Pop,0,"Vinyl (LP, Album)",
MCA Records (COPS-62395),Star Dust,Bing Crosby,Bing - A Musical Autobiography,Pop,0,"Vinyl (LP, Album)",
MCA Records (COPS-62395),Sweet And Lovely,Bing Crosby,Bing - A Musical Autobiography,Pop,0,"Vinyl (LP, Album)",
MCA Records (COPS-62395),Where The Blue Of The Night Meets The Gold Of The Day,Bing Crosby,Bing - A Musical Autobiography,Pop,0,"Vinyl (LP, Album)",
MCA Records (COPS-62395),Paradise,Bing Crosby,Bing - A Musical Autobiography,Pop,0,"Vinyl (LP, Album)",
MCA Records (COPS-62395),Please,Bing Crosby,Bing - A Musical Autobiography,Pop,0,"Vinyl (LP, Album)",
MCA Records (COPS-62395),Just An Echo In The Valley,Bing Crosby,Bing - A Musical Autobiography,Pop,0,"Vinyl (LP, Album)",
MCA Records (COPS-62395),I Don't Stand A Ghost Of A Chance With You,Bing Crosby,Bing - A Musical Autobiography,Pop,0,"Vinyl (LP, Album)",
MCA Records (COPS-62395),Learn To Croon,Bing Crosby,Bing - A Musical Autobiography,Pop,0,"Vinyl (LP, Album)",
MCA Records (COPS-62395),Down The Old Ox Road,Bing Crosby,Bing - A Musical Autobiography,Pop,0,"Vinyl (LP, Album)",
MCA Records (COPS-62395),Thanks,Bing Crosby,Bing - A Musical Autobiography,Pop,0,"Vinyl (LP, Album)",
MCA Records (COPS-62395),Black Moonlight,Bing Crosby,Bing - A Musical Autobiography,Pop,0,"Vinyl (LP, Album)",
MCA Records (COPS-62395),The Day You Came Along,Bing Crosby,Bing - A Musical Autobiography,Pop,0,"Vinyl (LP, Album)",
MCA Records (COPS-62395),After Sundown,Bing Crosby,Bing - A Musical Autobiography,Pop,0,"Vinyl (LP, Album)",
MCA Records (COPS-62395),Temptation,Bing Crosby,Bing - A Musical Autobiography,Pop,0,"Vinyl (LP, Album)",
MCA Records (COPS-62395),Love Thy Neighbor,Bing Crosby,Bing - A Musical Autobiography,Pop,0,"Vinyl (LP, Album)",
MCA Records (COPS-62395),May I?,Bing Crosby,Bing - A Musical Autobiography,Pop,0,"Vinyl (LP, Album)",
MCA Records (COPS-62395),Love In Bloom,Bing Crosby,Bing - A Musical Autobiography,Pop,0,"Vinyl (LP, Album)",
MCA Records (COPS-62395),I Love You Truly,Bing Crosby,Bing - A Musical Autobiography,Pop,0,"Vinyl (LP, Album)",
MCA Records (COPS-62395),June In January,Bing Crosby,Bing - A Musical Autobiography,Pop,0,"Vinyl (LP, Album)",
MCA Records (COPS-62395),Love Is Just Around The Corner,Bing Crosby,Bing - A Musical Autobiography,Pop,0,"Vinyl (LP, Album)",
MCA Records (COPS-62395),It's Easy To Remember,Bing Crosby,Bing - A Musical Autobiography,Pop,0,"Vinyl (LP, Album)",
MCA Records (COPS-62395),Soon,Bing Crosby,Bing - A Musical Autobiography,Pop,0,"Vinyl (LP, Album)",
MCA Records (COPS-62395),I Wished On The Moon,Bing Crosby,Bing - A Musical Autobiography,Pop,0,"Vinyl (LP, Album)",
MCA Records (COPS-62395),Silent Night,Bing Crosby,Bing - A Musical Autobiography,Pop,0,"Vinyl (LP, Album)",
MCA Records (COPS-62395),I'm An Old Cowhand,Bing Crosby,Bing - A Musical Autobiography,Pop,0,"Vinyl (LP, Album)",
MCA Records (COPS-62395),I Can't Escape From You,Bing Crosby,Bing - A Musical Autobiography,Pop,0,"Vinyl (LP, Album)",
MCA Records (COPS-62395),Song Of The Islands,Bing Crosby,Bing - A Musical Autobiography,Pop,0,"Vinyl (LP, Album)",
MCA Records (COPS-62395),Pennies From Heaven,Bing Crosby,Bing - A Musical Autobiography,Pop,0,"Vinyl (LP, Album)",
MCA Records (COPS-62395),Sweet Leilani,Bing Crosby,Bing - A Musical Autobiography,Pop,0,"Vinyl (LP, Album)",
MCA Records (COPS-62395),Blue Hawaii,Bing Crosby,Bing - A Musical Autobiography,Pop,0,"Vinyl (LP, Album)",
MCA Records (COPS-62395),The One Rose,Bing Crosby,Bing - A Musical Autobiography,Pop,0,"Vinyl (LP, Album)",
MCA Records (COPS-62395),There's A Gold Mine In The Sky,Bing Crosby,Bing - A Musical Autobiography,Pop,0,"Vinyl (LP, Album)",
MCA Records (COPS-62395),My Heart Is Taking Lessons,Bing Crosby,Bing - A Musical Autobiography,Pop,0,"Vinyl (LP, Album)",
MCA Records (COPS-62395),I've Got A Pocketful Of Dreams,Bing Crosby,Bing - A Musical Autobiography,Pop,0,"Vinyl (LP, Album)",
MCA Records (COPS-62395),Small Fry,Bing Crosby,Bing - A Musical Autobiography,Pop,0,"Vinyl (LP, Album)",
MCA Records (COPS-62395),Mexicali Rose,Bing Crosby,Bing - A Musical Autobiography,Pop,0,"Vinyl (LP, Album)",
MCA Records (COPS-62395),That Sly Old Gentleman,Bing Crosby,Bing - A Musical Autobiography,Pop,0,"Vinyl (LP, Album)",
MCA Records (COPS-62395),Alla En El Rancho Grande,Bing Crosby,Bing - A Musical Autobiography,Pop,0,"Vinyl (LP, Album)",
MCA Records (COPS-62395),Tumbling Tumbleweeds,Bing Crosby,Bing - A Musical Autobiography,Pop,0,"Vinyl (LP, Album)",
MCA Records (COPS-62395),Only Forever,Bing Crosby,Bing - A Musical Autobiography,Pop,0,"Vinyl (LP, Album)",
MCA Records (COPS-62395),Did Your Mother Come From Ireland?,Bing Crosby,Bing - A Musical Autobiography,Pop,0,"Vinyl (LP, Album)",
MCA Records (COPS-62395),Yes Indeed,Bing Crosby,Bing - A Musical Autobiography,Pop,0,"Vinyl (LP, Album)",
MCA Records (COPS-62395),Brahms' Lullaby,Bing Crosby,Bing - A Musical Autobiography,Pop,0,"Vinyl (LP, Album)",
MCA Records (COPS-62395),You Are My Sunshine,Bing Crosby,Bing - A Musical Autobiography,Pop,0,"Vinyl (LP, Album)",
MCA Records (COPS-62395),The Waiter And The Porter And The Upstairs Maid,Bing Crosby,Bing - A Musical Autobiography,Pop,0,"Vinyl (LP, Album)",
MCA Records (COPS-62395),Deep In The Heart Of Texas,Bing Crosby,Bing - A Musical Autobiography,Pop,0,"Vinyl (LP, Album)",
MCA Records (COPS-62395),"Wait Till The Sun Shines, Nellie",Bing Crosby,Bing - A Musical Autobiography,Pop,0,"Vinyl (LP, Album)",
MCA Records (COPS-62395),Walking The Floor Over You,Bing Crosby,Bing - A Musical Autobiography,Pop,0,"Vinyl (LP, Album)",
MCA Records (COPS-62395),White Christmas,Bing Crosby,Bing - A Musical Autobiography,Pop,0,"Vinyl (LP, Album)",
MCA Records (COPS-62395),Moonlight Becomes You,Bing Crosby,Bing - A Musical Autobiography,Pop,0,"Vinyl (LP, Album)",
MCA Records (COPS-62395),Road To Morocco,Bing Crosby,Bing - A Musical Autobiography,Pop,0,"Vinyl (LP, Album)",
MCA Records (COPS-62395),"Sunday, Monday Or Always",Bing Crosby,Bing - A Musical Autobiography,Pop,0,"Vinyl (LP, Album)",
MCA Records (COPS-62395),Pistol Packin' Mama,Bing Crosby,Bing - A Musical Autobiography,Pop,0,"Vinyl (LP, Album)",
MCA Records (COPS-62395),San Fernando Valley,Bing Crosby,Bing - A Musical Autobiography,Pop,0,"Vinyl (LP, Album)",
MCA Records (COPS-62395),I'll Be Seeing You,Bing Crosby,Bing - A Musical Autobiography,Pop,0,"Vinyl (LP, Album)",
MCA Records (COPS-62395),Swinging On A Star,Bing Crosby,Bing - A Musical Autobiography,Pop,0,"Vinyl (LP, Album)",
MCA Records (COPS-62395),Too-Ra-Loo-Ra-Loo-Ral,Bing Crosby,Bing - A Musical Autobiography,Pop,0,"Vinyl (LP, Album)",
MCA Records (COPS-62395),Don't Fence Me In,Bing Crosby,Bing - A Musical Autobiography,Pop,0,"Vinyl (LP, Album)",
MCA Records (COPS-62395),Yah-Ta-Ta Yah-Ta-Ta,Bing Crosby,Bing - A Musical Autobiography,Pop,0,"Vinyl (LP, Album)",
MCA Records (COPS-62395),It's Been A Long Long Time,Bing Crosby,Bing - A Musical Autobiography,Pop,0,"Vinyl (LP, Album)",
MCA Records (COPS-62395),The Bells Of St. Mary's,Bing Crosby,Bing - A Musical Autobiography,Pop,0,"Vinyl (LP, Album)",
MCA Records (COPS-62395),"Put It There, Pal",Bing Crosby,Bing - A Musical Autobiography,Pop,0,"Vinyl (LP, Album)",
MCA Records (COPS-62395),MacNamara's Band,Bing Crosby,Bing - A Musical Autobiography,Pop,0,"Vinyl (LP, Album)",
MCA Records (COPS-62395),Sioux City Sue,Bing Crosby,Bing - A Musical Autobiography,Pop,0,"Vinyl (LP, Album)",
MCA Records (COPS-62395),Begin The Beguine,Bing Crosby,Bing - A Musical Autobiography,Pop,0,"Vinyl (LP, Album)",
MCA Records (COPS-62395),"South America, Take It Away",Bing Crosby,Bing - A Musical Autobiography,Pop,0,"Vinyl (LP, Album)",
MCA Records (COPS-62395),Blue Skies,Bing Crosby,Bing - A Musical Autobiography,Pop,0,"Vinyl (LP, Album)",
MCA Records (COPS-62395),Alexander's Ragtime Band,Bing Crosby,Bing - A Musical Autobiography,Pop,0,"Vinyl (LP, Album)",
MCA Records (COPS-62395),The Whiffenpoof Song,Bing Crosby,Bing - A Musical Autobiography,Pop,0,"Vinyl (LP, Album)",
MCA Records (COPS-62395),Now Is The Hour,Bing Crosby,Bing - A Musical Autobiography,Pop,0,"Vinyl (LP, Album)",
MCA Records (COPS-62395),Galway Bay,Bing Crosby,Bing - A Musical Autobiography,Pop,0,"Vinyl (LP, Album)",
MCA Records (COPS-62395),Far Away Places,Bing Crosby,Bing - A Musical Autobiography,Pop,0,"Vinyl (LP, Album)",
MCA Records (COPS-62395),Mule Train,Bing Crosby,Bing - A Musical Autobiography,Pop,0,"Vinyl (LP, Album)",
MCA Records (COPS-62395),Dear Hearts And Gentle People,Bing Crosby,Bing - A Musical Autobiography,Pop,0,"Vinyl (LP, Album)",
MCA Records (COPS-62395),Rock Of Ages,Bing Crosby,Bing - A Musical Autobiography,Pop,0,"Vinyl (LP, Album)",
MCA Records (COPS-62395),Sunshine Cake,Bing Crosby,Bing - A Musical Autobiography,Pop,0,"Vinyl (LP, Album)",
MCA Records (COPS-62395),Play A Simple Melody,Bing Crosby,Bing - A Musical Autobiography,Pop,0,"Vinyl (LP, Album)",
MCA Records (COPS-62395),Sam's Song,Bing Crosby,Bing - A Musical Autobiography,Pop,0,"Vinyl (LP, Album)",
MCA Records (COPS-62395),Gone Fishin',Bing Crosby,Bing - A Musical Autobiography,Pop,0,"Vinyl (LP, Album)",
MCA Records (COPS-62395),"In The Cool, Cool Of The Evening",Bing Crosby,Bing - A Musical Autobiography,Pop,0,"Vinyl (LP, Album)",
MCA Records (COPS-62395),Y'all Come,Bing Crosby,Bing - A Musical Autobiography,Pop,0,"Vinyl (LP, Album)",
CBS (S 52863),El Paso,Marty Robbins,El Paso,"Folk, World, & Country",1970,"Vinyl (LP, Album)",
CBS (S 52863),The Wine Flowed Freely,Marty Robbins,El Paso,"Folk, World, & Country",1970,"Vinyl (LP, Album)",
CBS (S 52863),Streets Of Laredo,Marty Robbins,El Paso,"Folk, World, & Country",1970,"Vinyl (LP, Album)",
CBS (S 52863),The Hanging Tree,Marty Robbins,El Paso,"Folk, World, & Country",1970,"Vinyl (LP, Album)",
CBS (S 52863),Bouquet Of Roses,Marty Robbins,El Paso,"Folk, World, & Country",1970,"Vinyl (LP, Album)",
CBS (S 52863),Hello Heartaches,Marty Robbins,El Paso,"Folk, World, & Country",1970,"Vinyl (LP, Album)",
CBS (S 52863),Forever Yours,Marty Robbins,El Paso,"Folk, World, & Country",1970,"Vinyl (LP, Album)",
CBS (S 52863),The Nearness Of You,Marty Robbins,El Paso,"Folk, World, & Country",1970,"Vinyl (LP, Album)",
CBS (S 52863),My Wonderful One,Marty Robbins,El Paso,"Folk, World, & Country",1970,"Vinyl (LP, Album)",
CBS (S 52863),Love Is In The Air,Marty Robbins,El Paso,"Folk, World, & Country",1970,"Vinyl (LP, Album)",
I.D. Records (NOSE 6),We're The League,Anti-Nowhere League,We Are...The League,Rock,1985,"Vinyl (LP, Album, Reissue)",
I.D. Records (NOSE 6),Animal,Anti-Nowhere League,We Are...The League,Rock,1985,"Vinyl (LP, Album, Reissue)",
I.D. Records (NOSE 6),Woman,Anti-Nowhere League,We Are...The League,Rock,1985,"Vinyl (LP, Album, Reissue)",
I.D. Records (NOSE 6),Can't Stand Rock'N'Roll,Anti-Nowhere League,We Are...The League,Rock,1985,"Vinyl (LP, Album, Reissue)",
I.D. Records (NOSE 6),(We Will Not) Remember You,Anti-Nowhere League,We Are...The League,Rock,1985,"Vinyl (LP, Album, Reissue)",
I.D. Records (NOSE 6),Snowman,Anti-Nowhere League,We Are...The League,Rock,1985,"Vinyl (LP, Album, Reissue)",
I.D. Records (NOSE 6),Streets Of London,Anti-Nowhere League,We Are...The League,Rock,1985,"Vinyl (LP, Album, Reissue)",
I.D. Records (NOSE 6),I Hate...People (Remix),Anti-Nowhere League,We Are...The League,Rock,1985,"Vinyl (LP, Album, Reissue)",
I.D. Records (NOSE 6),'Reck-A-Nowhere,Anti-Nowhere League,We Are...The League,Rock,1985,"Vinyl (LP, Album, Reissue)",
I.D. Records (NOSE 6),World War III,Anti-Nowhere League,We Are...The League,Rock,1985,"Vinyl (LP, Album, Reissue)",
I.D. Records (NOSE 6),Nowhere Man,Anti-Nowhere League,We Are...The League,Rock,1985,"Vinyl (LP, Album, Reissue)",
I.D. Records (NOSE 6),Let's Break The Law (Remix),Anti-Nowhere League,We Are...The League,Rock,1985,"Vinyl (LP, Album, Reissue)",
Polydor (823 777-1),Knocking At Your Back Door,Deep Purple,Perfect Strangers,Rock,1984,"Vinyl (LP, Album, Stereo)",
Polydor (823 777-1),Under The Gun,Deep Purple,Perfect Strangers,Rock,1984,"Vinyl (LP, Album, Stereo)",
Polydor (823 777-1),Nobody's Home,Deep Purple,Perfect Strangers,Rock,1984,"Vinyl (LP, Album, Stereo)",
Polydor (823 777-1),Mean Streak,Deep Purple,Perfect Strangers,Rock,1984,"Vinyl (LP, Album, Stereo)",
Polydor (823 777-1),Perfect Strangers,Deep Purple,Perfect Strangers,Rock,1984,"Vinyl (LP, Album, Stereo)",
